page,key,value
4,Angle,SS-16DKM8-F4-A-1
4,With,1900 psig (130 bar) Rupture Disc
5,Example:,
5,Ordering Multiple Options and Accessories,Add designators in alphabetical order. 304L-HDF8-2250-C-H for a sample cylinder with end caps and carrying handle 304L-HDF4-300-H-T for a sample cylinder with carrying handle and internal PTFE coating.
5,Example:,
5,Example:,
5,End Caps,"End caps protect valves from damage. Each cap threads onto a neck ring that has been peened to the cylinder neck. End caps are made from plated carbon steel and are available for use on 2250 and 3785 cm³ (1 gal) cylinders. Swagelok angle-pattern valves can be used on cylinders with end caps. To order, add -C to the cylinder ordering number. 304L-HDF8-2250-C"
5,Note:,Product marking may differ from the part number that was ordered.
5,PTFE Coating,"Internal cylinder surfaces can be coated with PTFE to provide a nonstick surface, which aids in cleaning. To order, add -T to the cylinder ordering number. 304L-HDF4-300-T"
5,Electropolishing,"Electropolishing provides a clean internal surface with a high degree of passivation. To order, add -EP to the cylinder ordering number. 304L-HDF4-300-EP"
5,Example:,
5,Examples:,
5,Carrying Handle,"This accessory provides a convenient way to carry sample cylinders. The handle is made from 304 stainless steel and is available for use on 300 cm³ and larger cylinders. To order a sample cylinder to be shipped with a carrying handle, add -H to the cylinder ordering number. 304L-HDF4-300-H"
5,Caps and Plugs,Caps and plugs protect Swagelok tube fitting or NPT end connections on valves during cylinder transport. Contact your authorized Swagelok representative for details.
5,"Sample Cylinders, Accessories, and Outage Tubes",5
6,Total volume,
6,Liquid,
6,Purpose,Outage
6,Tube Length,L
6,Features,"Made from 316 stainless steel or alloy 400 tubing Offered in 1/4 or 1/2 in. NPT sizes Tube"" for identification"
6,6,"Sample Cylinders, Accessories, and Outage Tubes"
6,Construction,Outage tubes are welded to the male inlet end of an adapter or tee. This adapter or tee is then threaded into the female port Outage tube of a sample cylinder. adapter
6,"Marked ""Outage",
6,% outage =,(vapor space/total volume) X 100
7,Inlet Outlet,
7,022,
7,"Minimum Outage, %",10 20 30 40 50
7,Example:,M-14DKM4-104
7,Sample cylinder ordering number is,304L-HDF4-150.
7,Examples:,SS-DTM4-F4-018 SS-16DKM4-F4-018
7,Select an adapter ordering number.,"For alloy 400 material, replace SS with M."
7,Read across to the,30 % column.
7,"Sample Cylinders, Accessories, and Outage Tubes",7
7,Outage required is,
7,Caution:,"Tolerances on cylinder volume, dimensions, and thread fit can change the outage obtained by as much as 20%. To obtain an exact outage, each outage tube and cylinder assembly should be calibrated by a suitable method."
7,Example:,M-DTM4-F4-104
7,Select a,valve ordering number.
7,For alloy,"400 material, replace"
7,Designator,018.
7,3. Tube length is,1.79 in.
7,Tube Length in. (cm),10.4 (26.4)
7,1. Find,"304L-HDF4-150, the cylinder ordering number."
7,Tube OD,5/16 in.
8,A,
8,3/8 (9.5) OD for tube fitting or butt weld connection,
8,N,Swagelok N series severe-service union- bonnet needle valves can handle working pressures up to 6000 psig (413 bar) and available in straight and angle patterns. Refer to Severe-Service Union-Bonnet
8,Features,Single-ended or double-ended designs Corrosion-resistant 316/316L stainless steel construction Pressure rating of 1000 psig (68.9 bar)
8,Miniature Sample Cylinders,Miniature sample cylinders with 3/8 in. Swagelok tube adapter end connections allow transport of low volumes of fluids. The tube adapter ends can be connected to 3/8 in. Swagelok tube fittings or welded to 1/4 or 3/8 in. tubing.
8,Cleaning and Testing,"Every miniature sample cylinder is cleaned in accordance with Swagelok Special Cleaning and Packaging (SC-11) catalog, MS-06-63. Every miniature sample cylinder is proof tested at 1667 psig (114 bar) with dry nitrogen gas."
8,Quick-Connects,"Swagelok quick-connects are available in single- and double-end shutoff stem models and can be keyed to prevent accidental intermixing of different lines in multifluid or multipressure systems. Refer to Quick-Connects catalog, MS-01-138, for additional information."
8,Warranty Information,"Swagelok products are backed by The Swagelok Limited Lifetime Warranty. For a copy, visit swagelok.com or contact your authorized Swagelok representative."
8,WARNING,"Do not mix/interchange Swagelok products or components not governed by industrial design standards, including Swagelok tube fitting end connections, with those of other manufacturers."
8,Oxygen Service Hazards,"For more information about hazards and risks of oxygen- enriched systems, see the Swagelok Oxygen System Safety technical report, MS-06-13."
8,August,2024
8,©,2001-2024
